3	The Rock destined 21st Century new Conan going splash greater Arnold Schwarzenegger Jean Claud Van Damme Steven Segal
4	The gorgeously elaborate continuation The Lord Rings trilogy huge column words adequately describe co writer director Peter Jackson expanded vision J.R.R. Tolkien Middle earth
3	Singer composer Bryan Adams contributes slew songs potential hits simply intrusive story package certainly captures intended er spirit piece
2	You think America plucky British eccentrics hearts gold
3	Yet act charming
4	Whether enlightened Derrida lectures self Derrida undeniably fascinating playful fellow
4	Just labour involved creating layered richness imagery chiaroscuro madness light astonishing
3	Part charm Satin Rouge avoids obvious humour lightness
4	screenplay ingeniously constructed Memento
3	Extreme Ops exceeds expectations
4	Good fun good action good acting good dialogue good pace good cinematography
2	You Should Pay Nine Bucks This Because hear suffering Afghan refugees news unaffected
4	Dramas like human
2	A thunderous ride quiet cadences pure finesse far shortage dilutes potency respectable action
4	Still flick fun host truly excellent sequences
3	Australian actor director John Polson award winning English cinematographer Giles Nuttgens terrific effort disguising obvious energy innovation
3	You walk The Good Girl mixed emotions disapproval Justine combined tinge understanding actions
2	Post 9/11 philosophical message Personal Freedom First palatable intended
4	Absorbing character study André Turpin
3	If love reading and/or poetry means check
4	You probably love
3	Frailty written simple Goddammit
2	near end takes meaning
4	Grenier terrific bringing unforced rapid fire delivery Toback Heidegger Nietzsche referencing dialogue
2	The Sundance Film Festival buzz obsessed fans producers descend Utah January ferret The Next Great Thing
2	Tadpole films declared year The Next Pretty Good Thing
4	The actors fantastic
3	They makes worth trip theatre
4	Taymor utilizes idea making Kahlo art living breathing movie catapulting artist work
1	This n't new idea
4	It vividly passion
3	Take Care My Cat honestly nice little film takes examination young adult life urban South Korea hearts minds principals
2	It life affirming vulgar mean I liked
3	What Empire lacks depth makes heart
4	Light silly photographed colour depth good time
3	But tongue cheek preposterousness For Wilde droll whimsy helps Being Earnest overcome weaknesses Parker creative interference
3	Much movie charm lies utter cuteness Stuart Margolo
3	Their computer animated faces expressive
2	The path Ice Age follows closely established Warner Bros. giant Chuck Jones died matter weeks movie release
3	spiced humor I speak fluent flatula advises Denlopp er bubbly exchange alien deckhand witty updatings Silver parrot replaced Morph cute alien creature mimics
3	There energy Y Tu Mamá También
4	Much comes brave uninhibited performances lead actors
2	13 Conversations holds goodwill close relatively slow come point
3	Auto Focus works unusual biopic document male swingers Playboy era
2	If Mr. Zhang subject matter degree quintessentially American approach storytelling called Iranian
0	sour little movie core exploration emptiness underlay relentless gaiety 1920 The film ending What
3	feeling like 1920 trip great deal fun
3	Cremaster 3 come warning For film buffs
1	Made unintentionally famous queasy stomached critic staggered theater blacked lobby
4	But believe beautiful evocative works I ve seen
3	García Bernal Talancón immensely appealing couple story predictable want things work
4	spoof comedy carries share laughs chuckle guffaw great pleasure occasional belly laugh
3	City reminds realistically nuanced Robert De Niro performance lucratively engaged shameless self caricature Analyze This 1999 Analyze That promised threatened later year
4	The wanton slipperiness Corpus amiable jerking reshaping physical time space great piece watch kids use introduce video art
4	Frailty starts like typical Bible killer story turns significantly different better films theme
4	For pride sophisticated discerning taste like proper cup tea guaranteed stuffiest cinema goers laugh hour half
4	It cuts core actually means face fears girl world boys boy truly love girl ride big metaphorical wave life takes
3	A welcome relief baseball movies try hard mythic sweet modest ultimately winning story
3	A crisp psychological drama fascinating little thriller perfect old Twilight Zone episode
3	It moments insightful fondly remembered endlessly challenging maze moviegoing
2	Opening contrived banter cliches loose ends screenplay comes second half
3	An uncluttered resonant gem relays universal points lectures confrontations
3	The Cockettes provides window subculture hell bent expressing way imaginable
3	A smart steamy mix road movie coming age story political satire
1	The modern day royals guys comes scandals
1	It fairy tales princesses married political reason live happily
4	A terrific B movie fact best recent memory
3	Birthday Girl actor movie foremost
4	I walked away new version E.T. I hoped I moist eyes
4	For devotees French cinema Safe Conduct rich period minutiae like dying going celluloid heaven
3	What appealing characters resemblance everyday children
